id_vinho;fixedacidity;volatileacidity;citricacid;residualsugar;chlorides;freesulfurdioxide;totalsulfurdioxide;density;pH;sulphates;alcohol;quality;Vinho
1603;7,2;0,2;0,38;1;0,037;21;74;0,9918;3,21;0,37;11;5;WHITE
1604;5,9;0,15;0,31;5,8;0,041;53;155;0,9945;3,52;0,46;10,5;6;WHITE
1605;6,8;0,21;0,27;18,15;0,042;41;146;1,0001;3,3;0,36;8,7;5;WHITE
1606;7,4;0,16;0,27;15,5;0,05;25;135;0,9984;2,9;0,43;8,7;7;WHITE
1607;7,4;0,38;0,27;7,5;0,041;24;160;0,99535;3,17;0,43;10;5;WHITE
1608;7,1;0,72;0;1,8;0,123;6;14;0,99627;3,45;0,58;9,8;5;RED
1609;6,5;0,32;0,23;1,2;0,054;39;208;0,99272;3,18;0,46;9,9;6;WHITE
1610;7;0,15;0,34;1,4;0,039;21;177;0,9927;3,32;0,62;10,8;5;WHITE
1611;6,7;0,64;0,3;1,2;0,03;18;76;0,9892;3,16;0,6;12,9;4;WHITE
1612;6,6;0,19;0,35;1,5;0,037;37;107;0,99006;3,18;0,68;12;7;WHITE
1613;6,3;0,21;0,29;11,7;0,048;49;147;0,99482;3,22;0,38;10,8;5;WHITE
1614;6,6;0,23;0,26;1,3;0,045;16;128;0,9934;3,36;0,6;10;6;WHITE
1615;7;0,15;0,28;14,7;0,051;29;149;0,99792;2,96;0,39;9;7;WHITE
1616;6,7;0,35;0,32;9;0,032;29;113;0,99188;3,13;0,65;12,9;7;WHITE
1617;7,9;0,22;0,49;3,8;0,042;26;105;0,993;3,1;0,39;10,5;5;WHITE
1618;7,4;0,16;0,27;15,5;0,05;25;135;0,9984;2,9;0,43;8,7;7;WHITE
1619;7,2;0,29;0,18;8,2;0,042;41;180;0,99644;3,16;0,49;9,1;5;WHITE
1620;7,6;0,13;0,34;9,3;0,062;40;126;0,9966;3,21;0,39;9,6;5;WHITE
1621;6,6;0,17;0,36;1,9;0,036;38;110;0,99056;3,05;0,54;11,4;6;WHITE
1622;8,4;0,62;0,12;1,8;0,072;38;46;0,99504;3,38;0,89;11,8;6;RED
1623;7,4;0,25;0,28;7,25;0,028;14;78;0,99238;2,94;0,37;11,5;7;WHITE
1624;6,3;0,3;0,48;1,8;0,069;18;61;0,9959;3,44;0,78;10,3;6;RED
1625;9,2;0,25;0,34;1,2;0,026;31;93;0,9916;2,93;0,37;11,3;7;WHITE
1626;6,2;0,24;0,29;13,3;0,039;49;130;0,9952;3,33;0,46;11;8;WHITE
1627;7,4;0,19;0,31;14,5;0,045;39;193;0,9986;3,1;0,5;9,2;6;WHITE
1628;5,8;0,28;0,35;2,3;0,053;36;114;0,9924;3,28;0,5;10,2;4;WHITE
1629;7,5;0,43;0,3;2,2;0,062;6;12;0,99495;3,44;0,72;11,5;7;RED
1630;7,6;0,285;0,32;14,6;0,063;32;201;0,998;3;0,45;9,2;5;WHITE
1631;6,4;0,16;0,22;1,4;0,04;41;149;0,9933;3,49;0,58;10;6;WHITE
1632;8,3;0,65;0,1;2,9;0,089;17;40;0,99803;3,29;0,55;9,5;5;RED
1633;5,9;0,29;0,32;1,4;0,022;17;47;0,9899;3,35;0,35;11,5;6;WHITE
1634;6,5;0,18;0,33;1,4;0,029;35;138;0,99114;3,36;0,6;11,5;7;WHITE
1635;6,4;0,14;0,28;7,9;0,057;21;82;0,99425;3,26;0,36;10;6;WHITE
1636;7,4;0,18;0,4;1,6;0,047;22;102;0,9937;3,28;0,44;10,7;5;WHITE
1637;5,8;0,385;0,25;3,7;0,031;38;122;0,99128;3,2;0,63;11,2;6;WHITE
1638;8,4;0,59;0,29;2,6;0,109;31;119;0,99801;3,15;0,5;9,1;5;RED
1639;6,2;0,2;0,26;1,1;0,047;42;119;0,99158;3,48;0,6;11;7;WHITE
1640;9,8;0,31;0,49;15,4;0,046;13;119;1,0004;3,18;0,45;9,5;5;WHITE
1641;10,6;0,44;0,68;4,1;0,114;6;24;0,997;3,06;0,66;13,4;6;RED
1642;7,3;0,19;0,24;6,3;0,054;34;231;0,9964;3,36;0,54;10;6;WHITE
1643;10,4;0,33;0,63;2,8;0,084;5;22;0,9998;3,26;0,74;11,2;7;RED
1644;6,1;0,15;0,29;6,2;0,046;39;151;0,99471;3,6;0,44;10,6;6;WHITE
1645;8,4;0,715;0,2;2,4;0,076;10;38;0,99735;3,31;0,64;9,4;5;RED
1646;7;0,31;0,39;7,5;0,055;42;218;0,99652;3,37;0,54;10,3;5;WHITE
1647;5,9;0,3;0,3;2;0,03;38;142;0,98892;3,41;0,41;12,9;7;WHITE
1648;5,9;0,61;0,08;2,1;0,071;16;24;0,99376;3,56;0,77;11,1;6;RED
1649;7,8;0,56;0,19;2;0,081;17;108;0,9962;3,32;0,54;9,5;5;RED
1650;8,6;0,16;0,49;7,3;0,043;9;63;0,9953;3,13;0,59;10,5;6;WHITE
1651;6,4;0,15;0,31;1,1;0,044;25;96;0,9932;3,54;0,51;10,3;6;WHITE
1652;7,1;0,28;0,31;1,5;0,053;20;98;0,99069;3,15;0,5;11,4;5;WHITE
1653;10;0,69;0,11;1,4;0,084;8;24;0,99578;2,88;0,47;9,7;5;RED
1654;8,5;0,25;0,27;4,7;0,031;31;92;0,9922;3,01;0,33;12;6;WHITE
1655;6,3;0,25;0,27;6,6;0,054;40;158;0,99378;3,2;0,48;10,3;5;WHITE
1656;11,5;0,35;0,49;3,3;0,07;10;37;1,0003;3,32;0,91;11;6;RED
1657;5,8;0,3;0,12;1,6;0,036;57;163;0,99239;3,38;0,59;10,5;6;WHITE
1658;5;0,33;0,16;1,5;0,049;10;97;0,9917;3,48;0,44;10,7;6;WHITE
1659;9;0,24;0,5;1,2;0,048;26;107;0,9918;3,21;0,34;12,4;6;WHITE
1660;6,5;0,27;0,4;10;0,039;74;227;0,99582;3,18;0,5;9,4;5;WHITE
1661;6,7;0,33;0,49;1,6;0,167;20;94;0,9914;3,11;0,5;11,4;6;WHITE
1662;6,6;0,36;0,47;1,4;0,145;26;124;0,99274;3,09;0,56;10,1;6;WHITE
1663;5;0,35;0,25;7,8;0,031;24;116;0,99241;3,39;0,4;11,3;6;WHITE
1664;6;0,17;0,29;9,7;0,044;33;98;0,99536;3,12;0,36;9,2;6;WHITE
1665;7,8;0,16;0,41;1,7;0,026;29;140;0,991;3,02;0,78;12,5;6;WHITE
1666;8,6;0,45;0,31;2,6;0,086;21;50;0,9982;3,37;0,91;9,9;6;RED
1667;6,9;0,25;0,26;5,2;0,024;36;135;0,9948;3,16;0,72;10,7;7;WHITE
1668;7,4;0,19;0,3;12,8;0,053;48,5;229;0,9986;3,14;0,49;9,1;7;WHITE
1669;5,8;0,32;0,38;4,75;0,033;23;94;0,991;3,42;0,42;11,8;7;WHITE
1670;7,7;0,46;0,18;3,3;0,054;18;143;0,99392;3,12;0,51;10,8;6;WHITE
1671;5,9;0,26;0,25;12,5;0,034;38;152;0,9977;3,33;0,43;9,4;5;WHITE
1672;8;0,3;0,49;9,4;0,046;47;188;0,9964;3,14;0,48;10;5;WHITE
1673;6,2;0,36;0,22;5,25;0,038;44;145;0,99184;3,22;0,4;11,2;6;WHITE
1674;5,9;0,42;0,36;2,4;0,034;19;77;0,99184;3,25;0,48;10,9;5;WHITE
1675;6,6;0,28;0,28;8,5;0,052;55;211;0,9962;3,09;0,55;8,9;6;WHITE
1676;7,2;0,66;0,03;2,3;0,078;16;86;0,99743;3,53;0,57;9,7;5;RED
1677;7,1;0,18;0,32;12,2;0,048;36;125;0,9967;2,92;0,54;9,4;6;WHITE
1678;6,6;0,29;0,31;3,9;0,027;39;96;0,99035;3,24;0,6;12,6;8;WHITE
1679;11,1;0,39;0,54;2,7;0,095;21;101;1,0001;3,13;0,51;9,5;5;RED
1680;5,3;0,31;0,38;10,5;0,031;53;140;0,99321;3,34;0,46;11,7;6;WHITE
1681;6,3;0,28;0,29;6,8;0,051;40;143;0,99374;3,43;0,59;11;6;WHITE
1682;6,3;0,28;0,47;11,2;0,04;61;183;0,99592;3,12;0,51;9,5;6;WHITE
1683;5,8;0,13;0,26;5,1;0,039;19;103;0,99478;3,36;0,47;9,3;6;WHITE
1684;8,1;0,33;0,44;1,5;0,042;6;12;0,99542;3,35;0,61;10,7;5;RED
1685;9,7;0,66;0,34;2,6;0,094;12;88;0,99796;3,26;0,66;10,1;5;RED
1686;7,6;0,1;0,33;1;0,031;33;93;0,99094;3,06;0,68;11,2;6;WHITE
1687;6,4;0,69;0,09;7,6;0,044;34;144;0,9948;3,26;0,38;10,1;6;WHITE
1688;6,2;0,65;0,06;1,6;0,05;6;18;0,99348;3,57;0,54;11,95;5;RED
1689;6,3;0,13;0,42;1,1;0,043;63;146;0,99066;3,13;0,72;11,2;7;WHITE
1690;9,9;0,54;0,45;2,3;0,071;16;40;0,9991;3,39;0,62;9,4;5;RED
1691;7,4;0,3;0,22;5,25;0,053;33;180;0,9926;3,13;0,45;11,6;6;WHITE
1692;6,6;0,16;0,36;1,1;0,031;27;93;0,98884;3,23;0,34;13,2;8;WHITE
1693;5,6;0,12;0,33;2,9;0,044;21;73;0,98896;3,17;0,32;12,9;8;WHITE
1694;6,9;0,24;0,37;6,1;0,027;38;112;0,99086;3,19;0,34;12,4;6;WHITE
1695;10,6;1,02;0,43;2,9;0,076;26;88;0,9984;3,08;0,57;10,1;6;RED
1696;6,1;0,34;0,25;1,8;0,084;4;28;0,99464;3,36;0,44;10,1;5;RED
1697;7;0,24;0,3;12,3;0,035;72;172;0,9954;2,99;0,57;10,4;6;WHITE
1698;7,9;0,58;0,23;2,3;0,076;23;94;0,99686;3,21;0,58;9,5;6;RED
1699;6,5;0,67;0;4,3;0,057;11;20;0,99488;3,45;0,56;11,8;4;RED
1700;6,9;0,57;0;2,8;0,081;21;41;0,99518;3,41;0,52;10,8;5;RED
1701;7,2;0,17;0,37;6,9;0,059;47;128;0,99322;3,08;0,46;11;7;WHITE
1702;5,9;0,27;0,27;5;0,035;14;97;0,99058;3,1;0,33;11,8;7;WHITE
1703;9,1;0,29;0,33;2,05;0,063;13;27;0,99516;3,26;0,84;11,7;7;RED
1704;7;0,43;0,36;1,6;0,089;14;37;0,99615;3,34;0,56;9,2;6;RED
1705;6,4;0,3;0,3;2,25;0,038;8;210;0,9937;3,2;0,62;9,9;6;WHITE
1706;6,6;0,16;0,32;1,4;0,035;49;186;0,9906;3,35;0,64;12,4;8;WHITE
1707;8,7;0,48;0,3;2,8;0,066;10;28;0,9964;3,33;0,67;11,2;7;RED
1708;6,2;0,25;0,21;15,55;0,039;28;159;0,9982;3,48;0,64;9,6;6;WHITE
1709;6,8;0,2;0,27;1,2;0,034;19;68;0,9902;3,14;0,37;11,7;4;WHITE
1710;7,9;0,21;0,39;2;0,057;21;138;0,99176;3,05;0,52;10,9;5;WHITE
1711;6,7;0,22;0,37;1,6;0,028;24;102;0,9913;3,29;0,59;11,6;7;WHITE
1712;6,7;0,44;0,22;4,3;0,032;19;99;0,99015;3,26;0,53;12,8;7;WHITE
1713;6;0,33;0,2;1,8;0,031;49;159;0,9919;3,41;0,53;11;6;WHITE
1714;11,2;0,28;0,56;1,9;0,075;17;60;0,998;3,16;0,58;9,8;6;RED
1715;6,7;0,15;0,29;5;0,058;28;105;0,9946;3,52;0,44;10,2;7;WHITE
1716;5,9;0,2;0,23;1,5;0,037;38;93;0,99021;3,36;0,49;12;6;WHITE
1717;6,9;0,33;0,26;5;0,027;46;143;0,9924;3,25;0,43;11,2;7;WHITE
1718;6,9;0,46;0,2;0,9;0,054;5;126;0,992;3,1;0,42;10,4;6;WHITE
1719;4,7;0,67;0,09;1;0,02;5;9;0,98722;3,3;0,34;13,6;5;WHITE
1720;10;0,49;0,2;11;0,071;13;50;1,0015;3,16;0,69;9,2;6;RED
1721;7;0,48;0,12;4,5;0,05;23;86;0,99398;2,86;0,35;9;5;WHITE
1722;5,7;0,28;0,3;3,9;0,026;36;105;0,98963;3,26;0,58;12,75;6;WHITE
1723;6,9;0,4;0,37;8,9;0,053;36;148;0,996;3,16;0,5;9,3;5;WHITE
1724;8;0,42;0,17;2;0,073;6;18;0,9972;3,29;0,61;9,2;6;RED
1725;8;0,42;0,36;5;0,037;34;101;0,992;3,13;0,57;12,3;7;WHITE
1726;5,1;0,33;0,22;1,6;0,027;18;89;0,9893;3,51;0,38;12,5;7;WHITE
1727;6,6;0,2;0,27;10,9;0,038;29;130;0,99496;3,11;0,44;10,5;7;WHITE
1728;8,1;0,72;0,09;2,8;0,084;18;49;0,9994;3,43;0,72;11,1;6;RED
1729;7,8;0,39;0,26;9,9;0,059;33;181;0,9955;3,04;0,42;10,9;6;WHITE
1730;6,4;0,13;0,28;0,9;0,045;32;87;0,99175;3,47;0,52;11,2;6;WHITE
1731;6,5;0,35;0,28;12,4;0,051;86;213;0,9962;3,16;0,51;9,9;6;WHITE
1732;7;0,69;0,08;1,8;0,097;22;89;0,9959;3,34;0,54;9,2;6;RED
1733;6,6;0,39;0,39;11,9;0,057;51;221;0,99851;3,26;0,51;8,9;6;WHITE
1734;6,7;0,75;0,12;2;0,086;12;80;0,9958;3,38;0,52;10,1;5;RED
1735;7;0,36;0,3;5;0,04;40;143;0,99173;3,33;0,42;12,2;7;WHITE
1736;7,4;0,27;0,26;11,8;0,053;55;173;0,99699;3,11;0,6;9,8;5;WHITE
1737;5,8;0,24;0,39;1,5;0,054;37;158;0,9932;3,21;0,52;9,3;6;WHITE
1738;6,4;0,25;0,57;1;0,062;21;122;0,99238;3;0,4;9,5;5;WHITE
1739;6,2;0,27;0,43;7,8;0,056;48;244;0,9956;3,1;0,51;9;6;WHITE
1740;6,3;0,17;0,42;2,8;0,028;45;107;0,9908;3,27;0,43;11,8;6;WHITE
1741;11,5;0,41;0,52;3;0,08;29;55;1,0001;3,26;0,88;11;5;RED
1742;8,9;0,3;0,35;4,6;0,032;32;148;0,99458;3,15;0,45;11,5;7;WHITE
1743;9,7;0,32;0,54;2,5;0,094;28;83;0,9984;3,28;0,82;9,6;5;RED
1744;11,3;0,34;0,45;2;0,082;6;15;0,9988;2,94;0,66;9,2;6;RED
1745;6,9;0,45;0,11;2,4;0,043;6;12;0,99354;3,3;0,65;11,4;6;RED
1746;7,1;0,23;0,23;3,5;0,038;23;112;0,99157;3,05;0,37;11,36666667;6;WHITE
1747;7,2;0,19;0,39;1,2;0,036;32;85;0,9918;3,16;0,5;10,5;5;WHITE
1748;7,1;0,19;0,28;3,6;0,033;16;78;0,993;2,91;0,78;11,4;6;WHITE
1749;7,2;0,17;0,34;6,4;0,042;16;111;0,99278;2,99;0,4;10,8;6;WHITE
1750;7,6;0,27;0,33;2;0,059;19;175;0,9944;3,22;0,56;9,9;5;WHITE
1751;8,3;0,36;0,57;15;0,052;35;256;1,0001;2,93;0,64;8,6;5;WHITE
1752;6,7;0,48;0,32;1,4;0,021;22;121;0,9889;3,15;0,53;12,7;7;WHITE
1753;6,2;0,27;0,26;12,1;0,046;43;127;0,9951;3,16;0,37;10,8;6;WHITE
1754;7,7;0,6;0,06;2;0,079;19;41;0,99697;3,39;0,62;10,1;6;RED
1755;8,1;0,825;0,24;2,1;0,084;5;13;0,9972;3,37;0,77;10,7;6;RED
1756;6;0,36;0,06;1,4;0,066;27;128;0,9934;3,26;0,55;9,3;5;WHITE
1757;6;0,51;0;2,1;0,064;40;54;0,995;3,54;0,93;10,7;6;RED
1758;7,5;0,24;0,31;13,1;0,05;26;180;0,99884;3,05;0,53;9,1;6;WHITE
1759;6,8;0,34;0,74;2,8;0,088;23;185;0,9928;3,51;0,7;12;6;WHITE
1760;7,1;0,35;0,29;2,5;0,096;20;53;0,9962;3,42;0,65;11;6;RED
1761;8;0,17;0,29;2,4;0,029;52;119;0,98944;3,03;0,33;12,9;6;WHITE
1762;6,8;0,51;0,3;4,2;0,066;38;165;0,9945;3,2;0,42;9,1;5;WHITE
1763;9;0,8;0,12;2,4;0,083;8;28;0,99836;3,33;0,65;10,4;6;RED
1764;5,1;0,3;0,3;2,3;0,048;40;150;0,98944;3,29;0,46;12,2;6;WHITE
1765;5,7;0,265;0,28;6,9;0,036;46;150;0,99299;3,36;0,44;10,8;7;WHITE
1766;9,5;0,56;0,33;2,4;0,089;35;67;0,9972;3,28;0,73;11,8;7;RED
1767;7,6;0,19;0,32;18,75;0,047;32;193;1,00014;3,1;0,5;9,3;7;WHITE
1768;6,6;0,24;0,33;10,1;0,032;8;81;0,99626;3,19;0,51;9,8;6;WHITE
1769;6,4;0,16;0,37;1,5;0,037;27;109;0,99345;3,38;0,5;9,8;6;WHITE
1770;6,5;0,19;0,32;1,4;0,04;31;132;0,9922;3,36;0,54;10,8;7;WHITE
1771;9,4;0,5;0,34;3,6;0,082;5;14;0,9987;3,29;0,52;10,7;6;RED
1772;5,4;0,46;0,15;2,1;0,026;29;130;0,98953;3,39;0,77;13,4;8;WHITE
1773;7,5;0,6;0,03;1,8;0,095;25;99;0,995;3,35;0,54;10,1;5;RED
1774;6,2;0,2;0,28;1,1;0,039;24;78;0,9899;3,36;0,47;12,1;6;WHITE
1775;7,8;0,3;0,29;16,85;0,054;23;135;0,9998;3,16;0,38;9;6;WHITE
1776;7,1;0,29;0,34;7,8;0,036;49;128;0,99397;3,21;0,4;10,7;6;WHITE
1777;6,4;0,105;0,29;1,1;0,035;44;140;0,99142;3,17;0,55;10,7;7;WHITE
1778;7,2;0,27;0,28;15,2;0,046;6;41;0,99665;3,17;0,39;10,9;6;WHITE
1779;7,7;0,18;0,35;5,8;0,055;25;144;0,99576;3,24;0,54;10,2;6;WHITE
1780;5,1;0,35;0,26;6,8;0,034;36;120;0,99188;3,38;0,4;11,5;6;WHITE
1781;5,7;0,26;0,27;4,1;0,201;73,5;189,5;0,9942;3,27;0,38;9,4;6;WHITE
1782;8,4;0,18;0,42;5,1;0,036;7;77;0,9939;3,16;0,52;11,7;5;WHITE
1783;6,5;0,22;0,72;6,8;0,042;33;168;0,9958;3,12;0,36;9,2;6;WHITE
1784;6,6;0,24;0,22;12,3;0,051;35;146;0,99676;3,1;0,67;9,4;5;WHITE
1785;7,1;0,21;0,4;1,2;0,069;24;156;0,9928;3,42;0,43;10,6;6;WHITE
1786;9,9;0,35;0,55;2,1;0,062;5;14;0,9971;3,26;0,79;10,6;5;RED
1787;5;0,42;0,24;2;0,06;19;50;0,9917;3,72;0,74;14;8;RED
1788;7,3;0,19;0,27;13,9;0,057;45;155;0,99807;2,94;0,41;8,8;8;WHITE
1789;7,3;0,34;0,33;2,5;0,064;21;37;0,9952;3,35;0,77;12,1;7;RED
1790;8,2;0,37;0,36;1;0,034;17;93;0,9906;3,04;0,32;11,7;8;WHITE
1791;9,5;0,59;0,44;2,3;0,071;21;68;0,9992;3,46;0,63;9,5;5;RED
1792;6,1;0,64;0,02;2,4;0,069;26;46;0,99358;3,47;0,45;11;5;RED
1793;7,2;0,31;0,5;13,3;0,056;68;195;0,9982;3,01;0,47;9,2;5;WHITE
1794;6;0,32;0,3;1,9;0,033;41;142;0,98912;3,29;0,42;12,8;7;WHITE
1795;7,5;0,27;0,79;11,95;0,04;51;159;0,99839;2,98;0,44;8,7;5;WHITE
1796;6,9;0,4;0,17;12,9;0,033;59;186;0,99754;3,08;0,49;9,4;5;WHITE
1797;6,3;0,23;0,33;1,5;0,036;15;105;0,991;3,32;0,42;11,2;6;WHITE
1798;6,4;0,38;0,2;5,3;0,117;57;181;0,99459;3,24;0,43;9,5;6;WHITE
1799;6,6;0,18;0,28;3,3;0,044;18;91;0,993;3,42;0,64;10,8;6;WHITE
1800;7,8;0,49;0,49;7;0,043;29;149;0,9952;3,21;0,33;10;5;WHITE
1801;7,9;0,5;0,33;2;0,084;15;143;0,9968;3,2;0,55;9,5;5;RED
1802;7,4;0,18;0,24;1,4;0,047;21;106;0,99383;3,52;0,64;10,5;7;WHITE
1803;5,6;0,5;0,09;2,3;0,049;17;99;0,9937;3,63;0,63;13;5;RED
1804;10,7;0,67;0,22;2,7;0,107;17;34;1,0004;3,28;0,98;9,9;6;RED
1805;4,7;0,455;0,18;1,9;0,036;33;106;0,98746;3,21;0,83;14;7;WHITE
1806;6,7;0,265;0,22;8,6;0,048;54;198;0,9955;3,25;0,41;10,2;5;WHITE
1807;6,5;0,21;0,4;7,3;0,041;49;115;0,99268;3,21;0,43;11;6;WHITE
1808;7,5;0,18;0,31;6,5;0,029;53;160;0,99276;3,03;0,38;10,9;6;WHITE
1809;7,7;0,11;0,34;14,05;0,04;41;114;0,99634;3,07;0,59;11;7;WHITE
1810;6,4;0,33;0,31;5,5;0,048;42;173;0,9951;3,19;0,66;9,3;6;WHITE
1811;6,9;0,54;0,26;12,7;0,049;59;195;0,99596;3,26;0,54;10,5;6;WHITE
1812;7,7;0,835;0;2,6;0,081;6;14;0,9975;3,3;0,52;9,3;5;RED
1813;6,7;0,31;0,42;6,4;0,057;25;148;0,9955;3,16;0,45;9,6;5;WHITE
1814;7,1;0,3;0,49;1,6;0,045;31;100;0,9942;3,4;0,59;10,2;5;WHITE
1815;6,1;0,24;0,26;1,7;0,033;61;134;0,9903;3,19;0,81;11,9;7;WHITE
1816;7,5;0,22;0,29;4,8;0,05;33;87;0,994;3,14;0,42;9,9;5;WHITE
1817;7,2;0,25;0,28;14,4;0,055;55;205;0,9986;3,12;0,38;9;7;WHITE
1818;6,7;0,11;0,26;14,8;0,053;44;95;0,99676;3,2;0,35;9,8;6;WHITE
1819;7,8;0,545;0,12;2,5;0,068;11;35;0,996;3,34;0,61;11,6;6;RED
1820;7,5;0,58;0,14;2,2;0,077;27;60;0,9963;3,28;0,59;9,8;5;RED
1821;6,4;0,69;0,09;7,6;0,044;34;144;0,9948;3,26;0,38;10,1;6;WHITE
1822;7,9;0,545;0,06;4;0,087;27;61;0,9965;3,36;0,67;10,7;6;RED
1823;7,2;0,28;0,26;12,5;0,046;48;179;0,9975;3,1;0,52;9;6;WHITE
1824;6,7;0,33;0,34;6,6;0,067;35;156;0,99542;3,11;0,48;9,3;6;WHITE
1825;6,7;0,31;0,08;1,3;0,038;58;147;0,9922;3,18;0,46;10;5;WHITE
1826;8,4;0,58;0,27;12,15;0,033;37;116;0,9959;2,99;0,39;10,8;6;WHITE
1827;7,3;0,24;0,34;15,4;0,05;38;174;0,9983;3,03;0,42;9;6;WHITE
1828;6,7;0,13;0,29;5,3;0,051;31;122;0,9944;3,44;0,37;9,7;6;WHITE
1829;8,5;0,16;0,33;1;0,076;17;57;0,9921;3,14;0,46;10,6;6;WHITE
1830;6,4;0,24;0,28;11,5;0,05;34;163;0,9969;3,31;0,45;9,5;5;WHITE
1831;8,2;0,885;0,2;1,4;0,086;7;31;0,9946;3,11;0,46;10;5;RED
1832;6,2;0,24;0,27;2,9;0,039;30;123;0,98959;3,12;0,37;12,8;6;WHITE
1833;7;0,65;0,02;2,1;0,066;8;25;0,9972;3,47;0,67;9,5;6;RED
1834;7,5;0,64;0;2,4;0,077;18;29;0,9965;3,32;0,6;10;6;RED
1835;8;0,18;0,37;1,3;0,04;15;96;0,9912;3,06;0,61;12,1;6;WHITE
1836;7,8;0,55;0;1,7;0,07;7;17;0,99659;3,26;0,64;9,4;6;RED
1837;6,7;0,19;0,39;1;0,032;14;71;0,98912;3,31;0,38;13;7;WHITE
1838;8,4;0,19;0,42;1,6;0,047;9;101;0,994;3,06;0,65;11,1;4;WHITE
1839;6,1;0,38;0,42;5;0,016;31;113;0,99007;3,15;0,31;12,4;7;WHITE
1840;8,8;0,61;0,3;2,8;0,088;17;46;0,9976;3,26;0,51;9,3;4;RED
1841;6,6;0,17;0,35;2,6;0,03;33;78;0,99146;3,22;0,72;11,3;6;WHITE
1842;6,1;0,23;0,45;10,6;0,094;49;169;0,99699;3,05;0,54;8,8;5;WHITE
1843;8,6;0,265;0,36;1,2;0,034;15;80;0,9913;2,95;0,36;11,4;7;WHITE
1844;6,8;0,35;0,53;10,1;0,053;37;151;0,9963;3,07;0,4;9,4;5;WHITE
1845;6,5;0,32;0,12;11,5;0,033;35;165;0,9974;3,22;0,32;9;5;WHITE
1846;8,3;0,2;0,35;0,9;0,05;12;74;0,992;3,13;0,38;10,5;6;WHITE
1847;13,3;0,43;0,58;1,9;0,07;15;40;1,0004;3,06;0,49;9;5;RED
1848;6,7;0,34;0,31;16,4;0,051;20;146;0,99834;3,06;0,54;9,1;5;WHITE
1849;6,8;0,18;0,38;1,4;0,038;35;111;0,9918;3,32;0,59;11,2;7;WHITE
1850;5,1;0,42;0;1,8;0,044;18;88;0,99157;3,68;0,73;13,6;7;RED
1851;6,7;0,35;0,48;8,8;0,056;35;167;0,99628;3,04;0,47;9,4;5;WHITE
1852;5,7;0,16;0,32;1,2;0,036;7;89;0,99111;3,26;0,48;11;5;WHITE
1853;8,7;0,15;0,3;1,6;0,046;29;130;0,9942;3,22;0,38;9,8;6;WHITE
1854;7,4;0,22;0,33;2;0,045;31;101;0,9931;3,42;0,55;11,4;5;WHITE
1855;6,9;0,3;0,25;3,3;0,041;26;124;0,99428;3,18;0,5;9,3;6;WHITE
1856;7,2;0,17;0,28;17,55;0,05;33;154;0,99971;2,94;0,43;9;7;WHITE
1857;8;0,14;0,49;1,5;0,035;42;120;0,9928;3,26;0,4;10,6;7;WHITE
1858;5,7;0,22;0,25;1,1;0,05;97;175;0,99099;3,44;0,62;11,1;6;WHITE
1859;7,4;0,36;0,33;1,4;0,025;27;55;0,9915;3,21;0,33;11,2;6;WHITE
1860;7,7;0,38;0,4;2;0,038;28;152;0,9906;3,18;0,32;12,9;6;WHITE
1861;9,4;0,5;0,34;3,6;0,082;5;14;0,9987;3,29;0,52;10,7;6;RED
1862;9,8;0,51;0,19;3,2;0,081;8;30;0,9984;3,23;0,58;10,5;6;RED
1863;10,7;0,52;0,38;2,6;0,066;29;56;0,99577;3,15;0,79;12,1;7;RED
1864;5;0,24;0,21;2,2;0,039;31;100;0,99098;3,69;0,62;11,7;6;WHITE
1865;5,9;0,32;0,2;14,4;0,05;29;144;0,99666;3,24;0,41;10,3;6;WHITE
1866;7,5;0,38;0,29;4,9;0,021;38;113;0,99026;3,08;0,48;13;7;WHITE
1867;5,9;0,44;0,36;2,5;0,03;12;73;0,99201;3,22;0,48;10,8;6;WHITE
1868;9,3;0,43;0,44;1,9;0,085;9;22;0,99708;3,28;0,55;9,5;5;RED
1869;11,2;0,4;0,5;2;0,099;19;50;0,99783;3,1;0,58;10,4;5;RED
1870;6,5;0,33;0,28;6,1;0,018;41;103;0,99122;3,24;0,32;12,2;6;WHITE
1871;6,1;0,36;0,16;6,4;0,037;36;198;0,9944;3,17;0,62;9,9;6;WHITE
1872;5,8;0,32;0,31;2,7;0,049;25;153;0,99067;3,44;0,73;12,2;7;WHITE
1873;7,7;0,32;0,48;2,3;0,04;28;114;0,9911;3,2;0,52;12,8;7;WHITE
1874;8,9;0,28;0,45;1,7;0,067;7;12;0,99354;3,25;0,55;12,3;7;RED
1875;8,2;0,78;0;2,2;0,089;13;26;0,9978;3,37;0,46;9,6;4;RED
1876;5,8;0,555;0,26;4,5;0,053;17;126;0,9943;3,24;0,46;9,1;5;WHITE
1877;6,6;0,4;0,3;5,3;0,038;20;125;0,99204;3,36;0,73;12,6;6;WHITE
1878;6,4;0,34;0,44;8,2;0,043;54;201;0,99551;3,18;0,48;9,5;5;WHITE
1879;8,3;0,85;0,14;2,5;0,093;13;54;0,99724;3,36;0,54;10,1;5;RED
1880;7,5;0,18;0,72;9,6;0,039;53;151;0,99802;3,03;0,46;8,9;5;WHITE
1881;7,6;0,27;0,42;2,6;0,044;29;110;0,9912;3,31;0,51;12,7;6;WHITE
1882;8,6;0,52;0,38;1,5;0,096;5;18;0,99666;3,2;0,52;9,4;5;RED
